-1:,-2:,-3:,-4:,-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
0,1.1,2.2,3.3,21896.1,694.481,0.50887,0.499264,2.13621
0,0,1.1,2.2,21754.8,693.358,0.515383,0.510023,2.14204
0,0,1.1,2.2,23067.3,724,0.489905,0.53097,2.14939
0,0,1.1,2.2,14565.2,535.724,0.531344,0.610643,2.15115
0,0,1.1,2.2,14558.4,532.761,0.547528,0.618963,2.14924
0,0,1.1,2.2,14629.7,535.726,0.538746,0.610036,2.14979
0,0,1.1,2.2,13946.8,477.877,0.577023,0.569463,2.1526
0,0,1.1,2.2,27583,719.114,0.576807,0.417139,2.15277
0,0,1.1,2.2,18777,582.43,0.467865,0.638899,2.16428
0,0,1.1,2.2,18094.5,587.608,0.526245,0.528653,2.15775
0,0,1.1,2.2,9642.25,404.797,0.601431,0.485574,2.14974
0,0,1.1,2.2,17934,656.527,0.375604,0.499483,2.14126
0,0,1.1,2.2,15806.4,558.958,0.445662,0.491615,2.1306
0,0,1.1,2.2,12213.7,447.116,0.49657,0.579507,2.12865
0,0,1.1,2.2,18118.6,569.848,0.48364,0.648357,2.11791
0,0,1.1,2.2,15037.4,508.884,0.512746,0.476744,2.11976
0,0,1.1,2.2,14702.3,492.347,0.535054,0.448815,2.12087
0,0,1.1,2.2,15497.9,534.647,0.495329,0.491261,2.12071
0,0,1.1,2.2,15478.5,533.538,0.495226,0.484074,2.11954
0,0,1.1,2.2,15491.7,530.399,0.502139,0.495603,2.11939
0,0,1.1,2.2,15446.9,529.707,0.500975,0.488764,2.12075
0,0,1.1,2.2,15540.3,530.9,0.498692,0.488178,2.11957
0,0,1.1,2.2,15455.5,526.906,0.50271,0.486962,2.12047
0,0,1.1,2.2,15291.7,530.744,0.495398,0.505659,2.11973
0,0,1.1,2.2,15381,531.237,0.496641,0.506641,2.12049
0,0,1.1,2.2,15261.9,527.117,0.498191,0.504596,2.11936
0,0,1.1,2.2,14296.8,502.994,0.492037,0.474374,2.12006
0,0,1.1,2.2,13496.8,465.883,0.531332,0.436052,2.12046
0,0,1.1,2.2,14380.3,502.573,0.492522,0.45029,2.12103
0,0,1.1,2.2,15179.6,522.785,0.500832,0.512852,2.11965
0,0,1.1,2.2,14203.4,500.279,0.491119,0.489571,2.12049
0,0,1.1,2.2,15172.5,526.557,0.496321,0.519081,2.12051
0,0,1.1,2.2,15276.4,524.957,0.504872,0.51651,2.11979
0,0,1.1,2.2,14222.7,504.363,0.487383,0.487518,2.11987
0,0,1.1,2.2,13136.5,558.215,0.450733,0.471882,2.11929
0,0,1.1,2.2,15248.3,521.593,0.506556,0.500171,2.11976
0,0,1.1,2.2,14096.9,479.139,0.548454,0.507647,2.11974
0,0,1.1,2.2,15143,523.358,0.499769,0.521571,2.1192
0,0,1.1,2.2,14476.5,489.534,0.541382,0.464853,2.12074
0,0,1.1,2.2,15135.5,519.282,0.500752,0.490967,2.1205
0,0,1.1,2.2,14170.9,481.285,0.543592,0.497789,2.12126
0,0,1.1,2.2,14975.8,517.26,0.499285,0.535216,2.12153
0,0,1.1,2.2,14045.6,477.004,0.546756,0.518854,2.12229
0,0,1.1,2.2,15005,518.678,0.500486,0.542395,2.1217
0,0,1.1,2.2,15031.1,517.339,0.503146,0.53505,2.1228
0,0,1.1,2.2,14002.8,477.208,0.542742,0.514773,2.12092
0,0,1.1,2.2,14002.4,477.044,0.545176,0.528509,2.12194
0,0,1.1,2.2,13996.1,478.711,0.5442,0.540923,2.12064
0,0,1.1,2.2,14953.3,518.381,0.497808,0.548135,2.12178
0,0,1.1,2.2,15008,521.499,0.495261,0.540499,2.12169
0,0,1.1,2.2,13904.7,474.293,0.546536,0.516725,2.1212
0,0,1.1,2.2,13971.9,477.004,0.544136,0.531423,2.12147
0,0,1.1,2.2,14894.3,491.647,0.501219,0.565901,2.1228
0,0,1.1,2.2,12445.4,520.587,0.471281,0.562325,2.12239
0,0,1.1,2.2,15174.2,769.558,0.396344,0.663456,2.13797
0,0,1.1,2.2,29125.2,1104.83,0.301173,0.69679,2.16918
0,0,1.1,2.2,27753.9,798.559,0.414289,0.665779,2.18875
0,0,1.1,2.2,19290.6,654.913,0.399715,0.664644,2.17673
0,0,0,0,17778.1,593.704,0.510836,0.631192,2.15696
0,0,1.1,2.2,14535.9,576.477,0.481742,0.64983,2.14491
0,0,1.1,2.2,21474.5,833.622,0.47368,0.615351,2.14058
0,0,1.1,2.2,13141.5,636.058,0.471291,0.682103,2.15803
0,0,1.1,2.2,14357.6,737.228,0.466752,0.603981,2.15776
