
[2022-12-09 15:53:59.196]# RECV ASCII>
5.9714 0 0.1024 0.2634

[2022-12-09 15:54:00.002]# RECV ASCII>
706.4868 0 1.0251 1.8572

[2022-12-09 15:54:00.813]# RECV ASCII>
316.5782 0 0.9690 1.4372

[2022-12-09 15:54:01.623]# RECV ASCII>
18.7037 0 0.0414 0.3742

[2022-12-09 15:54:02.423]# RECV ASCII>
34.6631 0 0.0940 0.5453

[2022-12-09 15:54:03.229]# RECV ASCII>
30.3356 0 0.0325 0.5440

[2022-12-09 15:54:04.035]# RECV ASCII>
19.7272 0 0.1011 0.4728

[2022-12-09 15:54:04.840]# RECV ASCII>
10.9584 0 0.0585 0.3037

[2022-12-09 15:54:05.646]# RECV ASCII>
41.9076 0 0.3387 0.7675

[2022-12-09 15:54:06.457]# RECV ASCII>
185.8543 0 0.3006 1.6178

[2022-12-09 15:54:07.262]# RECV ASCII>
80.7161 0 0.0615 0.9812

[2022-12-09 15:54:08.066]# RECV ASCII>
91.8431 0 0.1502 1.0488

[2022-12-09 15:54:08.884]# RECV ASCII>
21.7183 0 0.2336 0.4735

[2022-12-09 15:54:09.680]# RECV ASCII>
6.9477 0 0.1223 0.1973

[2022-12-09 15:54:10.498]# RECV ASCII>
8.2388 0 0.1753 0.2912

[2022-12-09 15:54:11.295]# RECV ASCII>
10.0370 0 0.0697 0.3165

[2022-12-09 15:54:12.106]# RECV ASCII>
15.7994 0 0.2499 0.3796

[2022-12-09 15:54:12.910]# RECV ASCII>
82.9427 0 0.0693 0.9757

[2022-12-09 15:54:13.716]# RECV ASCII>
130.4854 0 0.0866 1.0522

[2022-12-09 15:54:14.521]# RECV ASCII>
94.0876 0 0.0975 0.9071

[2022-12-09 15:54:15.331]# RECV ASCII>
198.1444 0 0.2424 1.3170

[2022-12-09 15:54:16.137]# RECV ASCII>
113.6110 0 0.1096 0.9816

[2022-12-09 15:54:16.946]# RECV ASCII>
51.0796 0 0.0663 0.7505

[2022-12-09 15:54:17.755]# RECV ASCII>
41.4962 0 0.0438 0.7115

[2022-12-09 15:54:18.560]# RECV ASCII>
18.7373 0 0.0708 0.4037

[2022-12-09 15:54:19.365]# RECV ASCII>
9.4263 0 0.1372 0.2032

[2022-12-09 15:54:20.175]# RECV ASCII>
10.1728 0 0.1488 0.2445

[2022-12-09 15:54:20.980]# RECV ASCII>
40.6355 0 0.2219 0.7006

[2022-12-09 15:54:21.782]# RECV ASCII>
194.2671 0 0.1690 1.3587

[2022-12-09 15:54:22.598]# RECV ASCII>
192.3210 0 0.2194 1.1471

[2022-12-09 15:54:23.403]# RECV ASCII>
134.8430 0 0.0849 1.1261

[2022-12-09 15:54:24.209]# RECV ASCII>
110.3973 0 0.0558 1.0580

[2022-12-09 15:54:25.014]# RECV ASCII>
61.2630 0 0.0748 0.7753

[2022-12-09 15:54:25.821]# RECV ASCII>
18.0081 0 0.0397 0.3711

[2022-12-09 15:54:26.626]# RECV ASCII>
11.6624 0 0.0446 0.3423

[2022-12-09 15:54:27.431]# RECV ASCII>
45.5184 0 0.0653 0.7301

[2022-12-09 15:54:28.237]# RECV ASCII>
59.5407 0 0.0641 0.7114

[2022-12-09 15:54:29.054]# RECV ASCII>
21.3357 0 0.3031 0.2432

[2022-12-09 15:54:29.858]# RECV ASCII>
21.6693 0 0.0505 0.3688

[2022-12-09 15:54:30.667]# RECV ASCII>
17.3765 12 0.0386 0.4191

[2022-12-09 15:54:31.467]# RECV ASCII>
7.5282 3 0.0404 0.2495

[2022-12-09 15:54:32.272]# RECV ASCII>
33.0318 5 0.0695 0.5028

[2022-12-09 15:54:33.078]# RECV ASCII>
138.7188 2 0.1335 1.3222

[2022-12-09 15:54:33.885]# RECV ASCII>
495.4262 0 0.2339 2.0787

[2022-12-09 15:54:34.693]# RECV ASCII>
74.1617 3 0.1055 0.6041

[2022-12-09 15:54:35.498]# RECV ASCII>
71.5104 4 0.0520 0.9256

[2022-12-09 15:54:36.317]# RECV ASCII>
102.5713 0 0.1722 0.9241

[2022-12-09 15:54:37.112]# RECV ASCII>
33.3964 0 0.1181 0.5111

[2022-12-09 15:54:37.922]# RECV ASCII>
126.5145 6 0.6677 1.2126

[2022-12-09 15:54:38.726]# RECV ASCII>
601.4254 0 0.3178 2.4454

[2022-12-09 15:54:39.543]# RECV ASCII>
358.7045 2 0.4373 2.0009

[2022-12-09 15:54:40.340]# RECV ASCII>
43.2650 0 0.1210 0.7200

[2022-12-09 15:54:41.148]# RECV ASCII>
84.2747 0 0.1611 0.8349

[2022-12-09 15:54:41.957]# RECV ASCII>
19.3424 0 0.3599 0.3096

[2022-12-09 15:54:42.763]# RECV ASCII>
95.7911 0 0.3090 0.6784

[2022-12-09 15:54:43.568]# RECV ASCII>
56.9434 0 1.3181 0.4875

[2022-12-09 15:54:44.374]# RECV ASCII>
35.0450 0 0.2380 0.4093

[2022-12-09 15:54:45.180]# RECV ASCII>
38.9184 3 0.2285 0.5018

[2022-12-09 15:54:45.990]# RECV ASCII>
33.0439 1 0.3036 0.4865

[2022-12-09 15:54:46.800]# RECV ASCII>
5.4615 5 0.1684 0.1963

[2022-12-09 15:54:47.606]# RECV ASCII>
112.7054 0 0.2459 1.1985

