
[2022-12-09 16:38:06.204]# RECV ASCII>
502.1843 0 0.2699 1.9832

[2022-12-09 16:38:06.973]# RECV ASCII>
888.3466 0 0.9419 2.7827

[2022-12-09 16:38:07.779]# RECV ASCII>
420.8502 0 0.2469 1.7385

[2022-12-09 16:38:08.584]# RECV ASCII>
149.0654 1 0.0925 1.3424

[2022-12-09 16:38:09.394]# RECV ASCII>
839.4995 2 0.6482 2.7009

[2022-12-09 16:38:10.198]# RECV ASCII>
235.2415 2 1.1865 1.6710

[2022-12-09 16:38:11.015]# RECV ASCII>
262.7157 3 3.8517 1.6346

[2022-12-09 16:38:11.820]# RECV ASCII>
523.6599 0 3.2961 2.1356

[2022-12-09 16:38:12.618]# RECV ASCII>
136.1945 13 0.4118 1.2190

[2022-12-09 16:38:13.434]# RECV ASCII>
495.2639 0 0.7194 2.0162

[2022-12-09 16:38:14.242]# RECV ASCII>
754.7450 10 0.8037 2.6262

[2022-12-09 16:38:15.044]# RECV ASCII>
598.6353 0 0.3557 2.3761

[2022-12-09 16:38:15.849]# RECV ASCII>
365.6464 7 0.2675 2.0536

[2022-12-09 16:38:16.653]# RECV ASCII>
376.0015 0 0.2580 1.9598

[2022-12-09 16:38:17.458]# RECV ASCII>
254.4056 10 0.3745 1.7408

[2022-12-09 16:38:18.275]# RECV ASCII>
453.1956 0 0.3519 2.2257

[2022-12-09 16:38:19.080]# RECV ASCII>
356.2823 0 0.4281 2.0546

[2022-12-09 16:38:19.884]# RECV ASCII>
600.4995 0 0.8849 2.5639

[2022-12-09 16:38:20.689]# RECV ASCII>
733.2524 0 0.7936 2.2564

[2022-12-09 16:38:21.494]# RECV ASCII>
216.8011 0 0.1465 1.2424

[2022-12-09 16:38:22.300]# RECV ASCII>
399.6048 0 0.3972 1.9682

[2022-12-09 16:38:23.116]# RECV ASCII>
421.7607 0 0.5518 1.8693

[2022-12-09 16:38:23.921]# RECV ASCII>
314.7299 0 0.2287 1.4900

[2022-12-09 16:38:24.726]# RECV ASCII>
744.3920 0 0.3898 2.3751

[2022-12-09 16:38:25.531]# RECV ASCII>
853.1180 0 0.5520 2.8155

[2022-12-09 16:38:26.340]# RECV ASCII>
458.0492 0 1.2140 1.9736

[2022-12-09 16:38:27.144]# RECV ASCII>
422.4397 0 0.4821 1.9829

[2022-12-09 16:38:27.954]# RECV ASCII>
504.0713 0 1.4014 2.2192

[2022-12-09 16:38:28.758]# RECV ASCII>
491.0051 0 1.4358 1.9304

[2022-12-09 16:38:29.560]# RECV ASCII>
538.2843 0 1.5444 2.2576

[2022-12-09 16:38:30.373]# RECV ASCII>
291.3050 0 0.1602 1.6296

[2022-12-09 16:38:31.178]# RECV ASCII>
538.6773 0 1.9887 2.4078

[2022-12-09 16:38:31.983]# RECV ASCII>
175.1065 0 0.1481 1.5728

[2022-12-09 16:38:32.788]# RECV ASCII>
409.1461 0 0.3706 1.8810

[2022-12-09 16:38:33.606]# RECV ASCII>
795.0927 0 2.1222 2.6438

[2022-12-09 16:38:34.412]# RECV ASCII>
573.3875 0 0.5257 2.1196

[2022-12-09 16:38:35.208]# RECV ASCII>
454.8297 0 0.6159 2.2440

[2022-12-09 16:38:36.025]# RECV ASCII>
764.2749 0 0.3773 2.6307

[2022-12-09 16:38:36.833]# RECV ASCII>
257.6261 0 0.3698 1.7803

[2022-12-09 16:38:37.639]# RECV ASCII>
207.0154 0 0.1986 1.2991

[2022-12-09 16:38:38.444]# RECV ASCII>
156.9937 0 0.1314 1.3981

[2022-12-09 16:38:39.250]# RECV ASCII>
505.7959 0 0.3616 2.5063

[2022-12-09 16:38:40.054]# RECV ASCII>
814.2211 0 0.4497 2.6625

[2022-12-09 16:38:40.859]# RECV ASCII>
594.6892 0 0.4147 2.2706

[2022-12-09 16:38:41.664]# RECV ASCII>
326.7156 0 0.5615 2.1379

[2022-12-09 16:38:42.476]# RECV ASCII>
277.2567 0 0.1709 1.6240

[2022-12-09 16:38:43.281]# RECV ASCII>
369.9983 0 0.1638 1.8168

[2022-12-09 16:38:44.090]# RECV ASCII>
431.1154 0 0.2457 2.2547

[2022-12-09 16:38:44.895]# RECV ASCII>
220.5800 0 0.2537 1.4303

[2022-12-09 16:38:45.701]# RECV ASCII>
703.7476 0 0.7255 2.5619

[2022-12-09 16:38:46.506]# RECV ASCII>
487.1800 0 0.4438 2.1772

[2022-12-09 16:38:47.311]# RECV ASCII>
253.3288 0 0.2429 1.6230

[2022-12-09 16:38:48.128]# RECV ASCII>
244.4091 0 0.4456 1.6244

[2022-12-09 16:38:48.926]# RECV ASCII>
630.1346 0 0.7030 2.2726

[2022-12-09 16:38:49.732]# RECV ASCII>
395.8669 0 0.7031 1.9162

[2022-12-09 16:38:50.549]# RECV ASCII>
1217.5399 0 0.6387 3.6012

[2022-12-09 16:38:51.355]# RECV ASCII>
215.8269 0 0.4362 1.2816

[2022-12-09 16:38:52.159]# RECV ASCII>
979.5972 0 0.5320 2.6728

[2022-12-09 16:38:52.964]# RECV ASCII>
461.6323 0 0.4202 2.0295

[2022-12-09 16:38:53.768]# RECV ASCII>
264.8961 0 1.0793 1.6706

[2022-12-09 16:38:54.576]# RECV ASCII>
420.0165 0 0.2251 1.9629

[2022-12-09 16:38:55.384]# RECV ASCII>
287.6653 0 0.1942 1.8161

[2022-12-09 16:38:56.190]# RECV ASCII>
715.2158 0 0.9507 2.7678

[2022-12-09 16:38:56.994]# RECV ASCII>
253.6319 0 0.2502 1.7278

[2022-12-09 16:38:57.807]# RECV ASCII>
1175.0999 0 0.8254 3.3929

[2022-12-09 16:38:58.612]# RECV ASCII>
1448.4486 0 1.0503 3.7463

[2022-12-09 16:38:59.416]# RECV ASCII>
470.5699 0 0.5048 2.2514

[2022-12-09 16:39:00.222]# RECV ASCII>
744.4467 0 2.9509 2.7454

[2022-12-09 16:39:01.027]# RECV ASCII>
273.9967 0 4.3353 1.5936

[2022-12-09 16:39:01.840]# RECV ASCII>
370.7087 0 4.5053 1.5261

[2022-12-09 16:39:02.642]# RECV ASCII>
759.8525 0 0.9049 2.2999

[2022-12-09 16:39:03.448]# RECV ASCII>
856.0179 0 0.8557 2.1675

[2022-12-09 16:39:04.256]# RECV ASCII>
976.9894 0 0.7445 2.5796

[2022-12-09 16:39:05.060]# RECV ASCII>
776.6718 0 1.1030 2.1793

[2022-12-09 16:39:05.877]# RECV ASCII>
989.4537 0 0.7871 2.7582

[2022-12-09 16:39:06.682]# RECV ASCII>
546.2380 1 0.3710 2.5304

[2022-12-09 16:39:07.487]# RECV ASCII>
423.6938 0 0.2715 2.2785

[2022-12-09 16:39:08.293]# RECV ASCII>
202.4809 0 0.1607 1.4205

[2022-12-09 16:39:09.101]# RECV ASCII>
406.1879 0 0.3160 2.2090

[2022-12-09 16:39:09.906]# RECV ASCII>
757.3900 0 0.4542 2.8762

[2022-12-09 16:39:10.715]# RECV ASCII>
247.2459 0 0.4932 1.4240

[2022-12-09 16:39:11.521]# RECV ASCII>
143.4658 0 0.4140 1.0641

[2022-12-09 16:39:12.327]# RECV ASCII>
237.7199 0 0.2542 1.4434

[2022-12-09 16:39:13.132]# RECV ASCII>
625.3181 0 1.0669 2.1833

[2022-12-09 16:39:13.942]# RECV ASCII>
217.9098 0 0.6857 1.5678

[2022-12-09 16:39:14.747]# RECV ASCII>
414.5721 0 0.5403 1.5896

[2022-12-09 16:39:15.552]# RECV ASCII>
336.0113 0 0.3076 2.0647
