
[2022-12-09 16:22:06.574]# RECV ASCII>
401.8151 0 6.4922 1.7962

[2022-12-09 16:22:07.380]# RECV ASCII>
714.6636 0 3.7723 2.0302

[2022-12-09 16:22:08.197]# RECV ASCII>
113.5186 0 1.0844 0.7401

[2022-12-09 16:22:09.002]# RECV ASCII>
190.6867 0 0.7651 1.0165

[2022-12-09 16:22:09.806]# RECV ASCII>
149.2987 0 2.0672 0.9450

[2022-12-09 16:22:10.611]# RECV ASCII>
107.2026 0 2.4668 1.0366

[2022-12-09 16:22:11.416]# RECV ASCII>
44.5894 0 0.2550 0.6639

[2022-12-09 16:22:12.222]# RECV ASCII>
24.8756 0 0.2490 0.3848

[2022-12-09 16:22:13.038]# RECV ASCII>
43.4624 0 2.3449 0.5360

[2022-12-09 16:22:13.835]# RECV ASCII>
46.3289 0 1.5931 0.6014

[2022-12-09 16:22:14.652]# RECV ASCII>
32.0905 0 2.2883 0.5723

[2022-12-09 16:22:15.457]# RECV ASCII>
8.7224 0 1.0324 0.2993

[2022-12-09 16:22:16.262]# RECV ASCII>
86.4497 0 7.0333 0.8212

[2022-12-09 16:22:17.068]# RECV ASCII>
64.8281 0 4.3775 0.6474

[2022-12-09 16:22:17.876]# RECV ASCII>
58.0327 0 0.9570 0.6620

[2022-12-09 16:22:18.682]# RECV ASCII>
90.7098 0 0.2303 0.7338

[2022-12-09 16:22:19.488]# RECV ASCII>
464.8035 0 0.7218 1.6100

[2022-12-09 16:22:20.293]# RECV ASCII>
238.0304 0 0.4314 1.3315

[2022-12-09 16:22:21.098]# RECV ASCII>
331.5026 0 0.3544 1.4317

[2022-12-09 16:22:21.911]# RECV ASCII>
189.8116 0 0.1250 1.4661

[2022-12-09 16:22:22.715]# RECV ASCII>
431.0221 0 0.4597 1.8976

[2022-12-09 16:22:23.521]# RECV ASCII>
207.0035 0 0.2865 1.3808

[2022-12-09 16:22:24.330]# RECV ASCII>
127.4045 0 0.1729 1.2059

[2022-12-09 16:22:25.135]# RECV ASCII>
376.1650 0 0.2789 2.0133

[2022-12-09 16:22:25.946]# RECV ASCII>
32.0260 0 0.0306 0.6168

[2022-12-09 16:22:26.751]# RECV ASCII>
