-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
1162.5,235.782,0.262774,0.375328,2.14921
655.5,169.296,0.2874,0.49231,2.14958
682.5,149.983,0.381268,0.596886,2.14971
1066,207.882,0.309979,0.608526,2.15225
2010,292.652,0.29492,0.345643,2.15462
766.5,131.012,0.561175,0.158475,2.15647
838,172.083,0.355612,0.554033,2.15928
1187.5,174.468,0.490243,0.255101,2.16253
824.75,202.548,0.252572,0.575568,2.16964
1645.17,253.107,0.348297,0.316576,2.17344
1323.83,244.736,0.292836,0.507563,2.17191
1621.5,265.497,0.332653,0.612523,2.17188
1820.33,270.158,0.297206,0.663357,2.1724
1568.17,258.44,0.305171,0.525631,2.17136
1397.5,258.326,0.255055,0.539014,2.17126
1711.75,268.619,0.374085,0.522091,2.16902
1472,224.426,0.412527,0.484195,2.16917
1645,252.154,0.337828,0.319837,2.17005
1225.17,213.174,0.358915,0.478151,2.17002
1696.33,254.454,0.334631,0.508141,2.17105
1542,247.74,0.292185,0.559838,2.17104
1663.83,254.716,0.322446,0.533542,2.17077
1138.5,217.908,0.302891,0.52275,2.1689
1529.33,265.578,0.267763,0.599752,2.16956
1651.25,227.376,0.382727,0.457474,2.17007
915.75,218.376,0.240194,0.563161,2.16769
1470,206.912,0.426322,0.542811,2.16728
1006.75,160.406,0.481504,0.480521,2.16623
1388,219.74,0.340604,0.450144,2.16665
1577,287.267,0.308851,0.330582,2.1662
1931,233.681,0.44437,0.29118,2.16447
1318,194.368,0.438407,0.280588,2.1625
1225.25,213.104,0.310074,0.51192,2.16176
2156.5,263.723,0.38964,0.639924,2.16147
2050,286.995,0.312763,0.532207,2.15939
1817.5,302.409,0.249744,0.280404,2.15893
1955.5,269.409,0.38893,0.271473,2.1606
2376,313.279,0.304224,0.388719,2.16179
2003,263.48,0.362572,0.558784,2.16141
3319.5,448.919,0.206989,0.580194,2.1606
1432,197.054,0.463429,0.355111,2.16046
2679.5,288.894,0.403446,0.360466,2.16207
2057,374.451,0.184355,0.0924723,2.15972
2602.5,359.037,0.253702,0.217325,2.15953
3456,470.877,0.19587,0.485491,2.16071
2335.5,366.693,0.218265,0.535648,2.1615
804.5,164.326,0.36926,0.494487,2.15846
2271,284.309,0.353059,0.128335,2.16192
2437.5,271.924,0.414247,0.129576,2.16281
2719.5,272.953,0.458693,0.28086,2.165
2043,344.451,0.216383,0.353681,2.16376
2974.5,292.066,0.438189,0.389232,2.1619
1518.5,250.125,0.305008,0.522715,2.1603
1440.25,252.56,0.251986,0.352946,2.16081
3057,322.309,0.369795,0.630923,2.16288
1999,300.652,0.277904,0.245817,2.16202
2024.5,301.723,0.279455,0.315993,2.16112
734,167.497,0.339544,0.281626,2.15849
1764,242.853,0.375857,0.15809,2.15956
2715.5,353.924,0.272421,0.198827,2.16046
1290,246.853,0.266026,0.634551,2.16234
2038,351.622,0.207139,0.670569,2.16116
1878,298.995,0.263984,0.310073,2.15997
2669,324.309,0.31889,0.409066,2.15806
1302.5,250.409,0.261028,0.534575,2.16086
773,170.225,0.335228,0.372833,2.16326
1856,230.024,0.440798,0.607475,2.16094
2026.5,297.38,0.287961,0.617247,2.16178
1313.5,262.267,0.239968,0.653875,2.16184
2003,321.48,0.243547,0.650481,2.16087
1181.5,218.125,0.312056,0.77836,2.16058
1350.5,222.61,0.342464,0.511057,2.15946
1762.5,322.208,0.213337,0.295036,2.15761
648.25,132.962,0.485303,0.385434,2.16048
1492.25,218.134,0.436579,0.372448,2.16908
812.833,182.917,0.372886,0.561662,2.1679
1043.5,203.793,0.329346,0.477102,2.16864
1358,232.407,0.314235,0.423539,2.16943
1409,251.397,0.284495,0.606713,2.16895
1092.25,188.891,0.38276,0.296948,2.1687
813.5,190.255,0.290826,0.602891,2.16611
1075.5,178.941,0.420441,0.53043,2.16697
1014.75,185.548,0.385187,0.541312,2.16756
880.75,210.69,0.267992,0.508165,2.16414
996.75,182.962,0.385864,0.443377,2.15949
837,186.485,0.302445,0.185047,2.15668
604.75,137.577,0.43036,0.37727,2.16096
765.5,160.811,0.371983,0.302056,2.15631
593.25,132.82,0.434927,0.538327,2.15483
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
