-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
342,105.113,0.388979,0.253908,2.20144
223.5,63.5563,0.695296,0.0724625,2.20126
317,106.77,0.349441,0.381085,2.20045
226.5,88.8701,0.360385,0.573908,2.20208
455.5,109.355,0.47865,0.509499,2.20208
426.5,112.184,0.425862,0.188135,2.20002
176.5,82.3848,0.326784,0.363197,2.19344
309.5,88.3848,0.49787,0.284945,2.19501
200.5,67.5563,0.552067,0.106566,2.19487
432,103.113,0.510586,0.403021,2.19548
308,110.77,0.315442,0.435241,2.19414
339,158.426,0.169728,0.517526,2.19335
188,56.9706,0.727892,0.219531,2.19344
393,165.74,0.179782,0.524571,2.19473
198.75,61.8492,0.643455,0.262743,2.19397
302.5,85.6985,0.517594,0.410238,2.19327
593,184.225,0.219566,0.267014,2.19454
166,55.799,0.669985,0.234598,2.19537
376.5,136.184,0.255108,0.363455,2.19618
196,60.9706,0.66256,0.524403,2.19558
227,71.799,0.553349,0.462504,2.19473
355.5,89.5563,0.557002,0.364508,2.1948
322.5,124.184,0.262791,0.465122,2.19456
624,137.941,0.412104,0.182118,2.19587
446,127.456,0.345005,0.256578,2.19393
399,103.113,0.471583,0.448615,2.19519
460.5,92.3848,0.678014,0.395823,2.19515
686.5,179.64,0.267329,0.51995,2.19599
470,152.083,0.255355,0.33579,2.19365
483.5,141.012,0.305558,0.693442,2.19583
451,122.77,0.376015,0.527463,2.19565
504,114.77,0.480825,0.377317,2.19633
314,107.456,0.341727,0.450323,2.19472
335,134.426,0.232962,0.524308,2.19424
624.5,189.154,0.219336,0.229149,2.19562
229,69.3848,0.599208,0.304037,2.19557
239.5,86.3848,0.403312,0.272377,2.19541
156.5,62.7279,0.499807,0.125919,2.19479
570.5,182.669,0.21485,0.389469,2.19485
313.75,98.163,0.408321,0.23816,2.19657
689,164.912,0.318366,0.511368,2.19566
472,93.799,0.674148,0.273553,2.19662
442.5,119.698,0.388102,0.305656,2.19534
733.5,146.669,0.428482,0.515975,2.19646
601,147.255,0.348293,0.384125,2.19579
400,112.426,0.397679,0.507294,2.19634
915,196.083,0.299054,0.301725,2.19699
1059,235.882,0.239175,0.328861,2.1976
502.5,137.841,0.332347,0.352598,2.19664
329,137.598,0.218364,0.397677,2.19637
558.5,170.669,0.240948,0.20087,2.19707
220.5,81.5563,0.416584,0.1466,2.19558
324.25,89.9203,0.481808,0.433484,2.19712
748,186.083,0.271454,0.478904,2.19694
759,146.426,0.444849,0.407651,2.19675
730,143.113,0.447895,0.284636,2.19742
604.5,145.983,0.356454,0.38826,2.1972
761.5,144.184,0.460306,0.250003,2.19849
830.5,171.497,0.354841,0.276496,2.19855
592.5,138.527,0.387998,0.267346,2.19765
685,142.426,0.424345,0.43639,2.19852
586.5,169.154,0.25758,0.538718,2.19897
960.5,210.326,0.272849,0.463861,2.19943
635.5,173.497,0.265301,0.473381,2.19726
676.5,190.326,0.234683,0.532639,2.19754
588.5,155.841,0.304505,0.57865,2.19784
594,121.941,0.501991,0.503285,2.19504
531.5,152.184,0.288388,0.536482,2.19486
376,117.941,0.339678,0.422152,2.19534
419,101.113,0.515006,0.484244,2.19453
383.5,97.6985,0.504893,0.660793,2.19593
818.5,203.154,0.249216,0.416749,2.19809
192.5,66.7279,0.543282,0.569363,2.19629
511.5,116.527,0.473373,0.321675,2.19664
243,75.799,0.531483,0.248103,2.19587
1006.5,291.924,0.148417,0.56935,2.19568
546.5,151.012,0.301145,0.326259,2.19548
470,119.598,0.412914,0.486552,2.19495
545,129.113,0.410836,0.384708,2.19522
863.5,177.154,0.345755,0.143471,2.19413
735.5,165.983,0.33548,0.488738,2.19326
657.5,136.527,0.443271,0.274171,2.19449
731,154.912,0.382788,0.507777,2.19475
617,123.941,0.504736,0.456262,2.19704
1001.5,175.497,0.408619,0.290478,2.19876
324,112.77,0.320163,0.651472,2.19605
487.5,123.698,0.400365,0.54146,2.19481
551.5,143.012,0.338851,0.436182,2.19491
695.5,165.497,0.319098,0.585677,2.19709
290.5,76.0416,0.631325,0.361527,2.19638
1052.5,259.296,0.196716,0.300698,2.19628
826,151.598,0.451651,0.151149,2.19694
448,131.941,0.323391,0.302472,2.19807
623,166.912,0.281012,0.540377,2.19854
649,129.598,0.485577,0.279205,2.19928
747,161.255,0.360998,0.445677,2.19858
739.5,174.326,0.305791,0.494957,2.199
362,95.4558,0.499245,0.41864,2.19885
446.5,98.8701,0.573987,0.544129,2.19735
794.5,154.184,0.419978,0.395248,2.19712
860,173.255,0.360029,0.259684,2.19846
637.5,107.698,0.69067,0.2875,2.19715
693,163.74,0.324813,0.411533,2.19994
651,151.255,0.357579,0.457166,2.19768
1110.5,197.154,0.359018,0.380821,2.20078
509.5,146.669,0.29763,0.518707,2.19999
515,104.284,0.595086,0.592107,2.20164
963.5,153.012,0.517142,0.28582,2.20136
746.5,132.527,0.534111,0.293191,2.20042
647.5,164.326,0.301327,0.303754,2.20266
657.5,165.497,0.301664,0.474736,2.20156
492,146.669,0.286418,0.430807,2.20101
742.5,179.497,0.289594,0.582694,2.20168
0,0,0,0,0
317.25,91.5772,0.433894,0.579879,2.20299
365,96.6274,0.491249,0.308683,2.19998
354.5,121.698,0.300785,0.375458,2.19969
731,140.426,0.465832,0.500711,2.19978
464,135.941,0.315519,0.44769,2.1982
657.5,160.669,0.320067,0.47419,2.19712
495,115.941,0.462743,0.588378,2.19625
883.5,179.64,0.344043,0.058785,2.19687
488.5,157.841,0.246398,0.154456,2.19668
452,105.941,0.50608,0.39691,2.19539
487,155.598,0.252773,0.481579,2.19481
329,111.941,0.329934,0.563379,2.19403
331,87.1127,0.548119,0.257779,2.19503
371,144.912,0.222012,0.730828,2.19541
800.5,174.326,0.331015,0.550397,2.19522
251.5,84.0416,0.447465,0.502695,2.19554
172,64.1421,0.525353,0.363861,2.19344
439,89.4558,0.689377,0.270807,2.19355
292.5,93.2132,0.423039,0.596815,2.19397
596,179.054,0.233609,0.536382,2.19363
283,93.1127,0.410184,0.538256,2.19321
316.5,91.6985,0.472998,0.530527,2.19391
336.5,137.012,0.225256,0.415718,2.19206
