-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
9827.5,311.995,0.696632,0.22301,1.82656
9883.5,304.167,0.71982,0.235778,1.83135
9848,318.338,0.689276,0.240885,1.82909
9604.75,296.631,0.698311,0.19892,1.82857
19093,564.333,0.753378,0.0945179,1.82627
9635.5,314.066,0.626824,0.270598,1.83001
9749.5,310.066,0.664977,0.231896,1.82806
19062,593.505,0.680033,0.0892543,1.82708
9637,307.652,0.655227,0.274291,1.82764
19256,589.647,0.695973,0.0595715,1.82712
19225,574.333,0.7324,0.0979866,1.82575
18993.5,570.576,0.733142,0.0681068,1.82412
19895,619.647,0.651127,0.0615926,1.83528
20741.5,635.404,0.64558,0.0551137,1.83868
6960.83,230.172,0.722445,0.182734,1.8383
10444.5,334.066,0.643213,0.312933,1.83898
10358.5,328.48,0.708565,0.208508,1.83972
10349.5,328.652,0.669573,0.341842,1.83812
10290.2,327.773,0.642616,0.192826,1.83652
20454,605.505,0.701057,0.0383513,1.83869
10304.8,320.016,0.721511,0.228027,1.84031
10266,320.48,0.715183,0.254545,1.83872
10156.2,316.187,0.664255,0.194291,1.83991
20437,603.161,0.705927,0.0541739,1.83797
20501,622.818,0.664144,0.0846318,1.83748
10233.2,314.773,0.714853,0.199885,1.83689
20364.5,612.86,0.681336,0.0558606,1.8382
20169.5,598.576,0.707403,0.0462204,1.83757
10087.5,309.066,0.748731,0.212939,1.83414
9968.5,315.066,0.69534,0.26997,1.83143
10024.8,335.087,0.687386,0.180564,1.837
9971,309.723,0.737172,0.186419,1.83519
9933.5,317.723,0.541778,0.181148,1.83396
9964,313.409,0.713121,0.157301,1.83639
9956.75,323.702,0.655346,0.164448,1.83747
10112.8,322.016,0.689619,0.0857224,1.8379
10078.2,313.602,0.674901,0.140757,1.83455
10058.5,321.066,0.696619,0.142943,1.83233
10051.2,316.945,0.714324,0.16692,1.83486
10011.5,311.137,0.709862,0.152882,1.83527
9983.25,312.53,0.58013,0.176819,1.83376
9909.75,304.602,0.748319,0.0914583,1.83096
9921.75,307.773,0.744621,0.161739,1.83174
9909.25,308.187,0.736659,0.0410764,1.83123
9851.25,311.874,0.729719,0.11291,1.83033
19526.5,583.404,0.720934,0.0683415,1.83099
9914,310.652,0.711332,0.121429,1.82983
19468.5,580.718,0.725458,0.0820135,1.82821
9748.5,317.551,0.700293,0.186108,1.82787
9688.75,313.53,0.685431,0.117025,1.82619
9670.75,318.016,0.664084,0.150011,1.82575
9589.5,307.066,0.717846,0.109602,1.82631
9750.75,325.187,0.671257,0.145261,1.82529
19243.5,588.434,0.698392,0.0840451,1.82343
19179.5,574.09,0.731285,0.0702208,1.82298
9618.25,298.702,0.738309,0.174342,1.82079
9535.75,307.045,0.638825,0.175792,1.82188
9529.25,306.702,0.717001,0.166425,1.81985
9887.25,312.116,0.693177,0.117377,1.83105
10299.2,319.602,0.711811,0.148958,1.83386
10232.8,328.116,0.645631,0.358124,1.83222
10165.8,324.501,0.710382,0.143508,1.83392
10106,323.966,0.691815,0.124104,1.83377
10191.8,317.602,0.786777,0.0773741,1.8311
20266,611.647,0.680733,0.0680746,1.83422
10048,319.723,0.565123,0.0602157,1.83209
10097.2,318.773,0.721561,0.0917566,1.83355
10086.5,325.652,0.715263,0.0794944,1.83287
10085.2,324.258,0.635144,0.168933,1.83348
10073.2,305.945,0.746703,0.0688664,1.83407
10011.5,316.48,0.697264,0.117023,1.83186
10070.5,321.238,0.666,0.191119,1.83226
19967,593.647,0.711978,0.0769745,1.8335
19701,624.132,0.635543,0.0720516,1.83111
19773,597.99,0.694856,0.0984589,1.83115
19599.5,616.032,0.649006,0.084386,1.82995
19637,612.475,0.657821,0.100326,1.82997
19674.5,593.889,0.700975,0.0868247,1.83021
19619,614.96,0.651917,0.0809693,1.83111
19360.5,599.203,0.677608,0.0874703,1.82878
19402.5,590.718,0.698727,0.102398,1.82822
19352,598.818,0.678181,0.101912,1.82771
19357.5,610.718,0.652196,0.0815089,1.82554
19257.5,601.061,0.669843,0.0926084,1.82503
19147.5,593.889,0.682199,0.102756,1.82579
19179,587.505,0.698254,0.0921083,1.82325
19149.5,597.061,0.675041,0.104496,1.82394
19118.5,579.061,0.716498,0.103318,1.82227
19257.5,604.718,0.661766,0.124299,1.82296
18953.5,606.576,0.647335,0.0987474,1.82167
18860,576.818,0.712317,0.107424,1.82342
18749,609.304,0.63463,0.108346,1.82268
18813.5,573.061,0.719909,0.114381,1.82074
18826,586.818,0.687006,0.102544,1.82061
18920,610.96,0.636949,0.120923,1.82118
18851.5,576.233,0.713445,0.100752,1.82283
18735,574.333,0.713733,0.0945291,1.82276
18824.5,570.576,0.726619,0.0987329,1.8204
18520,569.99,0.716336,0.10414,1.81931
18533,569.99,0.716838,0.110108,1.82021
20459,611.647,0.687215,0.0764024,1.83929
20297,596.475,0.716897,0.0559107,1.83426
20293.5,619.061,0.665426,0.0672748,1.83668
20158.5,598.375,0.707492,0.0754892,1.83492
20172.5,593.889,0.718718,0.0498951,1.83511
19953.5,592.233,0.714899,0.0663718,1.83623
19717,607.446,0.671484,0.0637939,1.83688
20015,592.818,0.715685,0.0553278,1.83649
19954,605.99,0.682824,0.0772656,1.8362
19761,592.132,0.708242,0.0735652,1.83577
19979.5,592.919,0.714174,0.0583739,1.83732
19773,587.99,0.718692,0.0830161,1.83446
19673,592.132,0.705088,0.0776329,1.83463
19866.5,597.061,0.700316,0.0564674,1.83299
19590,617.647,0.645303,0.0962209,1.83232
19821,611.789,0.665476,0.0515516,1.83543
19626,606.475,0.670526,0.0863639,1.83573
19672,587.99,0.715021,0.0675383,1.8317
19576,603.161,0.676187,0.0769943,1.83502
19300,580.818,0.71893,0.0756005,1.83086
19926,584.333,0.733346,0.0178825,1.82526
20229.5,591.404,0.726819,0.0629708,1.82894
19721,589.789,0.712436,0.065435,1.83158
20054,628.475,0.63802,0.0402031,1.8298
19946.5,583.546,0.736082,0.0887266,1.8312
19868,610.132,0.670682,0.0719678,1.83028
19887.5,581.203,0.739834,0.0885307,1.83037
19614.5,579.404,0.734216,0.0803146,1.82755
19724.5,600.718,0.68687,0.0826522,1.8303
19637.5,591.889,0.704393,0.0955633,1.8282
19513.5,577.061,0.736379,0.0737765,1.82779
19563.5,584.576,0.719407,0.0941099,1.8266
19642,606.96,0.67,0.0832444,1.82848
19545.5,603.203,0.67504,0.0868278,1.82769
19689,583.99,0.725476,0.0838938,1.82782
19692,574.96,0.748555,0.0957251,1.82928
19384.5,601.404,0.673491,0.0967626,1.83038
19390,592.475,0.69414,0.0959272,1.82962
19199.5,593.061,0.685964,0.0985283,1.82929
19120,586.475,0.698552,0.109461,1.82884
19033,594.818,0.676003,0.0911099,1.82622
18976.5,583.889,0.699463,0.0947838,1.82735
18814.5,577.747,0.708316,0.0939751,1.82579
19161,579.161,0.717842,0.0935869,1.8241
19080.5,588.375,0.692615,0.0970922,1.82231
19347,584.333,0.712037,0.0918604,1.81555
20132.5,589.889,0.727054,0.0809969,1.82994
10527.5,332.551,0.653591,0.297098,1.83305
10364.5,330.966,0.682238,0.25809,1.81588
10439.2,358.572,0.526689,0.44008,1.82826
10337.5,323.38,0.74354,0.188185,1.82776
20391.5,616.032,0.675232,0.0646831,1.82538
10237.8,316.844,0.730319,0.210651,1.80245
10329.5,334.966,0.652555,0.0713972,1.82513
10232.8,336.016,0.692958,0.195643,1.83404
