-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
1348.5,148.385,0.76963,0.191011,2.1224
1342.5,148.042,0.769762,0.161421,2.12371
1338.5,146.042,0.788633,0.161793,2.12269
1360,149.456,0.765108,0.163813,2.12238
1340,147.799,0.770853,0.160296,2.1227
1345,147.799,0.77373,0.154527,2.12312
1339.5,148.385,0.764494,0.163331,2.12237
1339,147.799,0.770278,0.156139,2.12401
1343,148.971,0.760475,0.148468,2.12301
1341,149.799,0.750967,0.147445,2.12283
1339.5,149.213,0.756028,0.156037,2.12258
1333.5,148.385,0.761069,0.150881,2.12298
1331,148.971,0.75368,0.163548,2.12242
1358.5,150.042,0.758309,0.182834,2.12207
1346.5,152.042,0.731966,0.175518,2.12126
1337,150.627,0.740514,0.167688,2.12139
1352.5,152.042,0.735228,0.171089,2.1214
1349,153.456,0.719871,0.174383,2.12108
1340.5,151.213,0.736711,0.159164,2.12158
1330.5,149.213,0.750949,0.183721,2.12203
1330.5,148.042,0.762881,0.200158,2.12168
1331.5,150.042,0.743237,0.17739,2.12263
1344,150.284,0.747794,0.196531,2.12047
1348.5,151.213,0.741108,0.164586,2.12229
1347,151.456,0.737913,0.173001,2.12058
1347.5,151.698,0.735828,0.164577,2.12121
1342,151.799,0.731854,0.167475,2.11968
1348.5,152.87,0.72513,0.169218,2.1208
1354,150.627,0.74993,0.171584,2.12087
1358,150.627,0.752145,0.165923,2.12068
1333.5,147.213,0.773231,0.162768,2.12113
1344.5,151.213,0.738909,0.173678,2.12031
1334.5,150.042,0.744912,0.179018,2.12116
1354.5,151.213,0.744405,0.150666,2.11875
1337,150.627,0.740514,0.174798,2.12076
1355,151.456,0.742296,0.18807,2.12099
1348,153.456,0.719338,0.167188,2.12099
1349,150.627,0.74716,0.150515,2.12118
1346.5,150.87,0.743379,0.165065,2.11948
1345,150.627,0.744945,0.188576,2.12041
1358.5,151.213,0.746604,0.171422,2.1199
1352,153.456,0.721472,0.199875,2.12115
1356.5,152.042,0.737403,0.185173,2.12
1361,154.627,0.715311,0.134669,2.12019
1338.5,151.213,0.735612,0.162765,2.12048
1344.5,152.042,0.730879,0.153786,2.11928
1345,150.627,0.744945,0.1912,2.11935
1353.5,152.87,0.727819,0.176517,2.1206
1356.5,152.042,0.737403,0.182048,2.11991
1341,153.456,0.715602,0.1692,2.11861
1346.5,152.042,0.731966,0.200672,2.12022
1328.5,149.213,0.74982,0.17691,2.11913
1345,151.456,0.736818,0.179405,2.11889
1348.5,152.042,0.733054,0.173243,2.11887
1353,152.284,0.733158,0.168995,2.11977
1350.5,151.698,0.737466,0.198848,2.12002
1351.5,150.042,0.754401,0.158733,2.11929
1338,151.799,0.729673,0.155398,2.11945
1356.5,152.042,0.737403,0.185173,2.11844
1345,151.456,0.736818,0.187209,2.11901
1352,150.284,0.752245,0.190694,2.12026
1347,149.456,0.757795,0.169266,2.11886
1343,151.456,0.735722,0.202587,2.11931
1364.5,151.213,0.749901,0.161296,2.1201
1337,150.627,0.740514,0.197899,2.1183
1345,151.456,0.736818,0.187209,2.11857
1330,148.627,0.756595,0.187739,2.1184
1326.5,147.213,0.769172,0.192014,2.11931
1323.5,148.385,0.755362,0.186883,2.11914
1338,151.799,0.729673,0.161804,2.11966
1319.5,149.213,0.74474,0.172029,2.11756
1331,150.627,0.737191,0.17983,2.11961
1336.5,150.042,0.746028,0.172432,2.1179
1341,150.627,0.742729,0.170417,2.11957
1323.5,148.385,0.755362,0.187921,2.11937
1341,150.627,0.742729,0.191159,2.11845
1329,148.627,0.756026,0.18004,2.1189
1329,147.799,0.764525,0.18477,2.11777
1326.5,147.213,0.769172,0.18443,2.11835
1333,147.799,0.766826,0.194951,2.11814
1319.5,148.385,0.753079,0.190436,2.11921
1342.5,151.213,0.73781,0.197216,2.1149
1348,151.799,0.735126,0.169785,2.1181
1341.5,151.213,0.737261,0.193293,2.11714
1348,149.456,0.758357,0.225936,2.11674
1354.5,148.87,0.768023,0.204415,2.11695
1339.5,151.213,0.736162,0.200416,2.11592
1357.5,148.87,0.769724,0.210151,2.1175
1345.5,151.213,0.739459,0.194972,2.11581
1332.5,151.213,0.732315,0.201261,2.11566
1327,150.627,0.734975,0.189232,2.11877
1338,151.799,0.729673,0.200676,2.11799
1341.5,151.213,0.737261,0.192435,2.11719
1332.5,151.213,0.732315,0.190448,2.11732
1340,150.627,0.742175,0.201645,2.11686
1339,150.627,0.741622,0.192584,2.11617
1336.5,148.87,0.757817,0.18536,2.11567
1332.5,151.213,0.732315,0.190448,2.11717
1349.5,151.213,0.741657,0.170926,2.11693
1331,149.456,0.748794,0.19733,2.11686
1335.5,150.042,0.74547,0.186859,2.11621
1332.5,151.213,0.732315,0.197456,2.11616
1330,151.799,0.72531,0.194448,2.11662
1326,150.627,0.734421,0.186106,2.1166
1322,150.627,0.732206,0.197767,2.11507
1334,151.799,0.727492,0.194508,2.11673
1334,151.799,0.727492,0.197922,2.11687
1337.5,150.042,0.746586,0.198502,2.11675
