-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
0,0,0,0,0
88657.5,1772.41,0.354646,0.45231,2.05527
125916,2179.25,0.333179,0.220702,1.92715
83151,1818.43,0.315998,0.527918,1.85984
0,0,0,0,0
73390.5,1542.39,0.38767,0.436526,2.06196
119278,2036.4,0.361448,0.285886,1.91
0,0,0,0,0
56631.5,1366.79,0.380946,0.505275,2.07001
121163,2093.51,0.3474,0.247916,1.94245
8220.5,460.149,0.487877,0.335088,1.93231
93949,1783.28,0.371246,0.431154,2.05473
118611,1987.34,0.377389,0.368202,1.89124
29247.5,949.311,0.407832,0.629663,1.95606
82414,1656.23,0.377546,0.449468,2.05806
124220,2100.64,0.35375,0.319711,1.9131
0,0,0,0,0
65461,1466.83,0.382324,0.485738,2.08283
115824,1993.18,0.366367,0.263761,1.93948
3706.5,367.581,0.344722,0.263025,1.95736
95541.5,1780.56,0.378696,0.398277,2.04464
101543,1832.45,0.380008,0.396627,1.87221
10832.5,499.605,0.545362,0.411736,1.89909
79804.5,1618.82,0.382686,0.458469,2.07957
100922,1891.43,0.354501,0.335413,1.93201
0,0,0,0,0
66813,1498.97,0.373665,0.477476,2.10876
79840,1210.91,0.429171,0.4205,1.80648
2438,367.681,0.226621,0.227956,2.07663
116521,1866.94,0.420101,0.33292,1.98085
107198,1965,0.348877,0.44171,1.87944
6721,445.137,0.426242,0.281664,1.98761
91246.5,1751.73,0.373674,0.434303,2.08096
104339,1926.94,0.353118,0.384219,1.94117
0,0,0,0,0
86753.5,1713.3,0.37139,0.432291,2.06427
125532,1923.2,0.426496,0.342987,1.89865
0,0,0,0,0
101019,1908.88,0.348381,0.328946,2.04832
83285.5,1756.61,0.339177,0.461739,1.89063
0,0,0,0,0
88391,1743.97,0.365208,0.391018,2.1092
88767.5,1744.61,0.366492,0.402371,1.93589
1034,147.74,0.595297,0.330488,2.08101
127120,2142.81,0.347904,0.251336,1.9481
115532,1904.35,0.400327,0.358852,1.90947
0,0,0,0,0
118806,2318.75,0.277677,0.268093,1.99794
89540.5,1860.76,0.324975,0.520544,1.91322
0,0,0,0,0
104076,2260.42,0.255966,0.385847,2.05986
92329.5,1943.04,0.307317,0.48599,1.94242
7663.5,479.747,0.392206,0.606647,2.13798
138954,2302.75,0.329297,0.214111,1.92139
111424,1900.96,0.387477,0.450298,1.91357
0,0,0,0,0
