-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
92,74.2843,0.20951,14.6348,2.02958
225,63.4558,0.702181,8.08625,2.02958
18,15.6569,0.922727,1.37689,2.02958
14,13.6569,0.943271,0,2.02958
6835.5,613.546,0.228184,40.9893,2.02958
120,76.2843,0.259132,16.3638,2.03078
37,22.4853,0.919634,1.95904,2.03078
76,37.3137,0.685941,6.67379,2.03078
303.5,83.3553,0.548911,8.37231,2.03078
219,70.2843,0.557106,9.22036,2.03078
18,15.6569,0.922727,1.37689,2.03078
14,14.8284,0.800106,2.20018,2.03078
7099,471.019,0.402096,42.2441,2.03078
10,12.8284,0.763595,2.09409,2.03078
34,32.4853,0.40487,5.80796,1.98375
524.5,101.012,0.645963,7.03883,1.98375
101.5,46.7279,0.584148,7.58687,1.98375
13,13.6569,0.875895,1.83712,1.98375
7,9.65685,0.943271,0,1.98375
24,20.4853,0.718683,2.68587,1.98375
14,13.6569,0.943271,0,1.98375
7848,554.132,0.321175,35.3191,1.98375
25.5,24.2426,0.545243,4.59896,1.97705
18.5,18.2426,0.698564,2.40891,1.97705
7,9.65685,0.943271,0,1.97705
557.5,107.841,0.602407,10.144,1.97705
7,9.65685,0.943271,0,1.97705
7,9.65685,0.943271,0,1.97705
99,52.1421,0.45758,11.2571,1.97705
7572,527.99,0.341326,39.3638,1.97705
55,32.4853,0.654937,4.53228,2.09874
186.5,56.3848,0.737165,6.47315,2.09874
65.5,35.8995,0.638667,4.45563,2.09874
18.5,17.8995,0.725605,1.21878,2.09874
13,13.6569,0.875895,1.83712,2.09874
18,16.4853,0.832319,1.58421,2.09874
7,9.65685,0.943271,0,2.09874
7,10.4853,0.800106,1.5076,2.09874
8,11.6569,0.739839,2.16506,2.09874
11,14.4853,0.658793,2.20037,2.09874
20.5,19.0711,0.708294,3.50164,2.09874
21337.5,1157.17,0.200244,159.434,2.09874
75,40.1421,0.584885,6.24202,2.12206
4,7.65685,0.857371,1.06066,2.12206
19,16.4853,0.878559,1.39357,2.12206
4,7.65685,0.857371,1.06066,2.12206
7,9.65685,0.943271,0,2.12206
133,67.3137,0.368854,15.7489,2.12206
438.5,134.184,0.306041,8.13646,2.12206
5.5,9.07107,0.839954,0,2.12206
29.5,23.0711,0.69646,3.77644,2.12206
38,27.3137,0.640077,3.86318,2.12206
8.5,11.0711,0.871465,1.29111,2.12206
10757,514.024,0.511604,31.8798,2.12206
23,21.6569,0.616236,3.84398,2.03411
288.5,93.6985,0.412943,8.10098,2.03411
5373.5,404.811,0.412062,43.7808,2.03411
25,28.4853,0.387176,2.37437,2.04953
12,14.4853,0.718683,2.64486,2.04953
27.5,26.2426,0.501796,6.40217,2.04953
26,20.4853,0.778573,3.36592,2.04953
13.5,17.0711,0.582133,2.94725,2.04953
192,58.9706,0.69381,9.56442,2.04953
6,9.65685,0.808518,1.63299,2.04953
8292.5,546.693,0.348664,26.6216,2.04953
10,11.6569,0.924798,1.20761,2.08027
78,45.6569,0.470211,8.8827,2.08027
309.5,119.841,0.270809,11.2297,2.08027
158.5,63.5563,0.493084,11.0954,2.08027
8259,460.167,0.490125,24.1597,2.08027
55.5,45.5563,0.336051,7.23764,2.08054
7,9.65685,0.943271,0,2.08054
13.5,15.8995,0.671084,3.55205,2.08054
211,59.4558,0.750072,6.50097,2.08054
8088,646.936,0.242844,28.8454,2.08054
21.5,19.4142,0.716818,2.44536,2.07982
39,26.4853,0.698659,4.44286,2.07982
11,12.8284,0.839954,0,2.07982
216,60.6274,0.738457,8.75875,2.07982
72.5,34.7279,0.755423,2.9937,2.07982
59,40.4853,0.452343,9.19332,2.07982
106,44.9706,0.658657,4.39652,2.07982
8400.5,437.095,0.552538,27.3883,2.07982
13.5,15.4142,0.714004,2.77332,2.08334
15.5,17.8995,0.607939,1.48716,2.08334
252,78.2843,0.516727,4.83779,2.08334
20.5,18.2426,0.774084,2.07803,2.08334
28,19.6569,0.910626,1.53704,2.08334
8042.5,603.179,0.277785,28.9795,2.08334
18.5,17.8995,0.725605,2.4224,2.08373
6,9.65685,0.808518,1.63299,2.08373
17,16.4853,0.786079,2.0456,2.08373
13,13.6569,0.875895,1.83712,2.08373
219.5,83.6985,0.39374,3.685,2.08373
21.5,19.8995,0.682282,3.13961,2.08373
24.5,21.0711,0.69343,3.16299,2.08373
8371.5,540.208,0.360488,16.947,2.08373
20.5,17.8995,0.804048,2.41746,2.084
37.5,23.8995,0.825018,2.86578,2.084
51,38.4853,0.432704,6.35958,2.084
167.5,53.2132,0.743337,6.18274,2.084
4,7.65685,0.857371,1.06066,2.084
8236.5,502.409,0.410051,9.72849,2.084
5.5,9.07107,0.839954,0,2.0834
18,16.4853,0.832319,2.17143,2.0834
231,83.4558,0.416781,7.38914,2.0834
33,26.8284,0.576147,5.57847,2.0834
34.5,23.0711,0.814505,3.68369,2.0834
27,20.4853,0.808518,2.59167,2.0834
8350.5,433.439,0.558557,15.982,2.0834
17.5,17.0711,0.754617,2.35299,2.08439
11,14.4853,0.658793,2.20037,2.08439
46.5,41.8995,0.332847,7.66726,2.08439
4,7.65685,0.857371,1.06066,2.08439
173,58.6274,0.632491,10.0497,2.08439
75.5,35.8995,0.736173,3.15539,2.08439
8401,454.024,0.512133,18.0122,2.08439
56,42.4853,0.389871,8.54198,2.08415
4,7.65685,0.857371,1.06066,2.08415
7,9.65685,0.943271,0,2.08415
151,50.9706,0.730378,6.48418,2.08415
177.5,61.2132,0.595275,4.99332,2.08415
40.5,30.7279,0.539012,5.01456,2.08415
8523.5,434.752,0.566688,15.2554,2.08415
