-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
37,24.8284,0.754246,4.15684,2.10989
46.5,27.4142,0.777519,3.45725,2.10323
50,30.8284,0.661115,13.0261,2.08951
172,70.9706,0.429123,11.093,2.07912
128.5,46.7279,0.739537,3.88392,2.07871
278.5,90.3848,0.428395,8.01014,2.07256
89.5,43.0711,0.606264,10.9632,2.07052
89,59.3137,0.317899,7.62564,2.07052
104,60.1421,0.361315,10.5835,2.07039
116.5,54.7279,0.488785,8.94308,2.07039
147.5,60.7279,0.502603,8.03313,2.07103
64,33.6569,0.709975,5.26892,2.07103
191.5,79.2132,0.383516,9.91685,2.07139
85,51.6569,0.400288,4.82807,2.07269
189.5,67.5563,0.521779,9.93209,2.07269
120.5,49.0711,0.628848,8.9057,2.07289
192.5,75.5563,0.423739,11.8768,2.07289
67.5,36.2426,0.645764,7.19734,2.0685
143.5,67.8995,0.391137,11.2271,2.0685
40.5,27.4142,0.677194,10.3396,2.06699
45,38.8284,0.375079,5.55488,2.06699
533.5,122.527,0.446562,20.9769,2.07197
57.5,30.2426,0.79002,4.16013,2.06976
77,36.8284,0.713402,3.36418,2.06976
148,74.9706,0.330895,5.06207,2.06892
45,26.8284,0.785655,4.7865,2.06808
48.5,28.2426,0.764084,4.49856,2.06808
310,97.799,0.407289,19.7391,2.06911
73.5,37.0711,0.672089,9.43273,2.06857
59,36.8284,0.546633,5.27914,2.06857
308.5,86.0416,0.523658,10.6501,2.07027
194,64.1421,0.59255,8.90682,2.07055
267.5,80.0416,0.524689,15.6467,2.07057
33,22.8284,0.795741,3.64939,2.07057
36,24.8284,0.733861,3.90641,2.07009
242.5,68.7279,0.645142,7.07641,2.07009
141,56.4853,0.555339,11.2291,2.06982
184.5,78.7279,0.374066,15.9224,2.07068
175,65.3137,0.515513,8.67051,2.0711
237.5,73.5563,0.551611,10.2331,2.0711
154.5,56.7279,0.603316,11.2104,2.07038
58,30.8284,0.766894,5.16625,2.06793
275.5,96.7279,0.370022,8.63893,2.06793
28,20.8284,0.811064,3.00919,2.0683
157.5,72.7279,0.374186,8.04441,2.0683
347.5,86.3848,0.585181,11.391,2.0683
184,72.1421,0.444273,10.0785,2.06693
134,61.3137,0.447919,15.4912,2.06758
39.5,25.4142,0.768517,6.12439,2.06758
218,92.9706,0.316939,8.87549,2.06758
77.5,38.2426,0.66591,5.06168,2.06842
154,57.3137,0.589133,6.943,2.06842
77.5,36.2426,0.741433,6.40208,2.06842
191.5,68.3848,0.514588,5.34095,2.06822
166,55.3137,0.681793,6.41167,2.06844
100.5,43.8995,0.655325,5.79838,2.0671
175.5,69.5563,0.455841,12.5722,2.0671
41.5,30.2426,0.570189,6.43101,2.0671
343.5,98.0416,0.449072,12.9372,2.06869
592,137.941,0.390971,14.7218,2.07066
44.5,26.2426,0.811998,4.00142,2.06701
110.5,48.7279,0.584812,10.0212,2.06701
507,153.941,0.268849,13.7517,2.06791
169.5,80.3848,0.329634,5.09372,2.06896
28.5,21.4142,0.780999,3.44462,2.07213
118.5,51.8995,0.552843,9.6639,2.07213
538.5,129.698,0.402278,14.5022,2.07584
396,111.941,0.397124,10.8643,2.07549
243,83.4558,0.438432,10.5001,2.07373
56,32.4853,0.666845,6.77329,2.07373
67,38.8284,0.558451,10.6193,2.07282
46,26.8284,0.803114,3.07417,2.07273
65,35.6569,0.642447,4.5881,2.07273
40,24.8284,0.815401,2.35798,2.0735
311,80.9706,0.596096,12.6932,2.0735
51.5,28.2426,0.811347,4.2323,2.0735
53,28.8284,0.80139,4.34465,2.0751
156,71.3137,0.385468,5.23667,2.0751
296.5,103.698,0.346489,13.2008,2.0751
85,45.6569,0.512409,4.81749,2.07562
372,119.941,0.32495,19.5749,2.07525
35,27.3137,0.589544,1.51818,2.07673
613.5,133.698,0.431292,17.4649,2.07673
90.5,39.0711,0.744986,6.51024,2.0773
177,62.1421,0.575984,9.4668,2.0773
59,32.8284,0.687958,4.57218,2.0773
59,39.6569,0.471439,10.4526,2.07767
347,104.284,0.400961,18.0828,2.07767
45,26.8284,0.785655,0.725599,2.07767
566,142.77,0.348943,14.0528,2.07743
611,132.77,0.435566,8.21017,2.07595
73.5,38.2426,0.631541,8.97186,2.07735
28,21.3137,0.774551,2.55007,2.07735
612,158.083,0.307744,11.9533,2.07735
794,157.598,0.401725,23.8283,2.08179
764.5,151.012,0.421273,19.2479,2.08084
109,56.4853,0.429305,9.08246,2.07937
121.5,54.7279,0.509763,7.81783,2.07937
125,58.1421,0.464663,12.6616,2.08085
173.5,83.5563,0.312284,6.90783,2.08085
663,147.598,0.382439,7.36428,2.0805
469,127.456,0.362797,15.7292,2.08134
418.5,90.3848,0.643746,6.59931,2.07964
484.5,166.184,0.220458,11.7599,2.07964
639.5,161.841,0.306814,23.6002,2.08016
509.5,139.355,0.329691,21.5259,2.08059
812,143.598,0.494845,18.0868,2.08006
92.5,39.0711,0.761449,6.6393,2.07867
189,81.799,0.354957,9.92959,2.07867
283.5,122.87,0.235978,15.8527,2.07826
88.5,42.2426,0.623234,16.5497,2.07783
240.5,79.5563,0.477502,11.734,2.07783
351.5,117.556,0.319627,33.1096,2.07723
235.5,87.2132,0.389078,18.5921,2.07743
169,56.4853,0.665619,6.05762,2.07799
153.5,57.5563,0.58228,8.54003,2.07799
101,48.1421,0.547622,7.10145,2.07884
786.5,257.782,0.148732,30.0915,2.07873
91,39.6569,0.727134,10.8112,2.07719
241.5,84.3848,0.426186,18.2397,2.07719
485,146.284,0.284811,19.4357,2.07548
309.5,97.2132,0.411548,20.1225,2.07756
279.5,118.87,0.248569,27.6121,2.07902
95,47.6569,0.525633,9.76445,2.07655
66,32.8284,0.76958,3.8626,2.07655
40.5,27.4142,0.677194,10.3396,2.0759
107,45.3137,0.654839,3.06316,2.0759
76.5,35.8995,0.745924,5.99702,2.07542
270,82.1421,0.502854,10.7727,2.07542
105.5,42.7279,0.726171,6.67201,2.07686
314.5,126.042,0.248773,6.51315,2.07686
72,35.6569,0.711633,8.50315,2.07569
63.5,32.2426,0.767578,5.96832,2.07569
99.5,51.0711,0.479383,7.95611,2.07569
86.5,40.2426,0.671202,8.79716,2.07754
331,101.799,0.401376,10.9163,2.07754
72,37.6569,0.638049,2.53744,2.07772
389,101.456,0.474903,16.3295,2.07772
275.5,115.213,0.260812,6.76416,2.07718
340.5,115.698,0.319648,17.9736,2.07623
132,60.4853,0.453403,13.3942,2.07644
121.5,47.0711,0.689093,8.95128,2.07644
296.5,104.87,0.338791,12.9815,2.07564
138.5,53.8995,0.599087,6.072,2.07497
131.5,61.8995,0.431282,7.11985,2.07497
541,114.627,0.517404,7.41967,2.07718
77.5,43.0711,0.524977,8.44388,2.07646
38,24.8284,0.774631,5.35765,2.07646
91,48.4853,0.486442,8.46715,2.07712
47,30.8284,0.621448,7.58602,2.0771
64.5,34.2426,0.69125,14.6658,2.07805
31,22.8284,0.747514,3.21576,2.07805
