-area:,-length:,-roundIndex:,-eccIndex:,-entropy:
4,7.65685,0.857371,1.06066,2.09055
14,13.6569,0.943271,0,2.09055
5267.5,532.551,0.233395,57.4978,2.09055
4,7.65685,0.857371,1.06066,2.08874
6069.5,492.551,0.314384,68.0439,2.08874
12,15.6569,0.615151,3.19505,2.05487
2117,244.912,0.443518,37.3618,2.05487
1028,142.426,0.636828,18.5791,2.04116
2386.5,222.125,0.607823,26.3654,2.04171
2020,213.882,0.554896,26.1063,2.04095
2581.5,212.953,0.715341,27.3599,2.04122
1429,217.882,0.378267,27.8447,2.04273
3569.5,247.296,0.733468,18.2878,2.04402
18,18.8284,0.638049,3.39314,2.05618
2621,295.196,0.377969,42.0356,2.26715
3779.5,345.924,0.396902,38.5646,2.17243
4185.5,291.439,0.619246,35.9416,2.13813
4225.5,293.439,0.616671,35.5667,2.14209
28.5,25.0711,0.569782,4.94092,2.14262
4345,295.681,0.624528,38.5857,2.14262
4308,294.368,0.624749,37.5637,2.14425
4337,302.853,0.594205,35.904,2.15234
4356,304.368,0.590882,37.4766,2.15138
4368,299.196,0.61317,38.1979,2.15349
4331.5,316.953,0.541823,38.6278,2.15445
4360,314.853,0.552689,38.9038,2.15575
3493.5,308.61,0.460946,39.9207,2.155
8.5,11.0711,0.871465,1.29111,2.15565
19,19.6569,0.617925,3.74504,2.15565
3644.5,306.61,0.487163,40.5077,2.15565
4214,328.368,0.491116,35.6334,2.16262
3831.5,356.409,0.379036,39.1889,2.16493
28,19.6569,0.910626,1.53704,2.17529
4179.5,327.924,0.488414,41.5807,2.17529
4,7.65685,0.857371,1.06066,2.1779
14,13.6569,0.943271,0,2.1779
4472.5,339.439,0.487795,39.1963,2.1779
22,18.8284,0.779838,1.86528,2.17776
4332,344.51,0.458665,39.2124,2.17776
4439,315.196,0.561479,38.3317,2.17647
13,13.6569,0.875895,1.83712,2.17693
4397,326.51,0.518292,39.7945,2.17693
4460,322.51,0.538839,39.4974,2.17832
4342.5,322.267,0.525434,42.6628,2.17405
7,9.65685,0.943271,0,2.17463
4439.5,320.61,0.542737,41.1127,2.17463
10,11.6569,0.924798,1.20761,2.175
4319,303.196,0.5904,42.0098,2.175
15,16.8284,0.665601,2.66065,2.175
4332,328.51,0.504431,40.1519,2.17497
4488,336.995,0.496611,42.316,2.17519
13,13.6569,0.875895,1.83712,2.17703
4336.5,320.61,0.530145,43.2826,2.17703
4298,325.196,0.510724,41.5506,2.17609
4409.5,325.782,0.52209,42.1081,2.17831
